datetime,query,statistics.volume,statistics.pos_sentiment,statistics.neg_sentiment,group
2019-17,"""terrorism finance""",248,5.342900000000002,0,%Y-%U
2019-04-27,"""qatar blockade""",1,0,0.8105,%Y-%m-%d
2019-17,"""qatar blockade""",65,9.6534,14.102,%Y-%U
2019-17,#egyptfromskoczów,0,0,0,%Y-%U
2019-17,#baloonflight,0,0,0,%Y-%U
2019-04-27,#ontario,270,74.46069999999993,21.188599999999994,%Y-%m-%d
2019-04-28,#ontario,410,106.03329999999988,38.99100000000001,%Y-%m-%d
2019-04-29,#ontario,15,3.9737999999999998,0.8879999999999999,%Y-%m-%d
2019-17,#ontario,2779,758.6451999999995,282.3852000000003,%Y-%U
2019-04-27,#unitedarabemirates,21,4.2385,0,%Y-%m-%d
2019-04-28,#unitedarabemirates,39,15.384999999999994,0.1027,%Y-%m-%d
2019-04-29,#unitedarabemirates,1,0,0.8519,%Y-%m-%d
2019-17,#unitedarabemirates,45,16.619599999999995,1.0573,%Y-%U
2019-17,#bloodmoneyqatar,0,0,0,%Y-%U
2019-04-27,bad blood,715,42.5694,333.7401000000014,%Y-%m-%d
2019-04-28,bad blood,1837,91.81000000000009,949.528699999995,%Y-%m-%d
2019-04-29,bad blood,9,0,4.9902,%Y-%m-%d
2019-17,bad blood,5497,349.54890000000006,2526.8301999999576,%Y-%U
2019-04-27,ted deutch,1,0,0.0772,%Y-%m-%d
2019-04-29,ted deutch,1,0,0.0644,%Y-%m-%d
2019-17,ted deutch,36,17.162299999999995,1.0413000000000001,%Y-%U
2019-17,#qatartheworldcup,0,0,0,%Y-%U
2019-17,#egyptfromus,0,0,0,%Y-%U
2019-04-27,"""qatar world cup""",1,0,0,%Y-%m-%d
2019-04-28,"""qatar world cup""",6,0.4404,0.3612,%Y-%m-%d
2019-17,"""qatar world cup""",17,1.7850000000000001,0.3612,%Y-%U
2019-17,#fnewsm,0,0,0,%Y-%U
2019-04-27,#uae,408,107.04160000000002,71.96580000000002,%Y-%m-%d
2019-04-28,#uae,1241,262.53149999999994,151.41760000000008,%Y-%m-%d
2019-04-29,#uae,48,6.069499999999999,10.902800000000001,%Y-%m-%d
2019-17,#uae,1463,291.61129999999997,214.43170000000015,%Y-%U
2019-17,#federalshutdown,1,0,0.6908,%Y-%U
2019-04-26,#chungus,1,0,0,%Y-%m-%d
2019-04-27,#chungus,1,0,0,%Y-%m-%d
2019-17,#chungus,3,0.4588,0,%Y-%U
2019-04-27,chungus,45,7.040600000000002,2.8237,%Y-%m-%d
2019-04-28,chungus,93,11.881599999999999,6.6828,%Y-%m-%d
2019-04-29,chungus,3,0.5719,0,%Y-%m-%d
2019-17,chungus,1514,286.34409999999957,106.3821,%Y-%U
